student_id,term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,term_11
2,本院-眼科,,,本院-眼科,,,,本院-眼科,本院-眼科,,
8,,,本院-小児科,,,本院-小児科,本院-小児科,本院-小児科,,,
10,,,第三-泌尿器科,第三-泌尿器科,,,,第三-泌尿器科,,,第三-泌尿器科
12,葛飾-内科（循環器）,,,葛飾-内科（循環器）,葛飾-内科（循環器）,,,,葛飾-内科（循環器）,,
14,,第三-泌尿器科,柏-内科（呼吸器）,,,柏-内科（呼吸器）,,,,柏-内科（呼吸器）,
16,,,本院-耳鼻咽喉・頭頸部外科,本院-耳鼻咽喉・頭頸部外科,,,,本院-耳鼻咽喉・頭頸部外科,,,本院-耳鼻咽喉・頭頸部外科
17,,,本院-内科（循環器）,,,本院-内科（循環器）,本院-内科（循環器）,,,本院-整形外科,
18,,本院-精神神経科,,,本院-精神神経科,,,,本院-精神神経科,本院-精神神経科,
19,柏-内科（呼吸器）,柏-内科（呼吸器）,,,柏-内科（呼吸器）,,,,柏-内科（呼吸器）,,
21,本院-本院画像診断部,,,本院-本院画像診断部,,,,本院-本院画像診断部,本院-本院画像診断部,,
22,,本院-内科（リウマチ・膠原病）,,,本院-内科（リウマチ・膠原病）,,,,本院-内科（リウマチ・膠原病）,本院-内科（リウマチ・膠原病）,
24,,葛飾-整形外科,葛飾-内科（消化器・肝臓）,,,葛飾-内科（消化器・肝臓）,,,,葛飾-内科（消化器・肝臓）,
25,,柏-内科（消化器・肝臓）,,,本院-精神神経科,柏-内科（消化器・肝臓）,,,,柏-内科（消化器・肝臓）,
26,本院-内科（脳神経）,,,柏-内科（呼吸器）,,,,本院-内科（脳神経）,,,柏-内科（呼吸器）
28,葛飾-内科（消化器・肝臓）,葛飾-内科（消化器・肝臓）,,,葛飾-内科（消化器・肝臓）,,,,葛飾-内科（消化器・肝臓）,,
29,,本院-眼科,,,本院-眼科,,,,第三-内科（消化器・肝臓）,本院-眼科,
31,本院-耳鼻咽喉・頭頸部外科,本院-耳鼻咽喉・頭頸部外科,,,本院-耳鼻咽喉・頭頸部外科,,,,本院-耳鼻咽喉・頭頸部外科,,
34,,本院-内科（腫瘍・血液）,本院-内科（腫瘍・血液）,,,本院-内科（腫瘍・血液）,,,,本院-内科（腫瘍・血液）,
35,,,本院-産婦人科,,,本院-産婦人科,本院-産婦人科,本院-産婦人科,,,
36,本院-本院画像診断部,本院-本院画像診断部,,,本院-本院画像診断部,,,,本院-脳神経外科,,
37,,第三-総合診療部（看護共修実習：2ターム目のみ）,,,本院-リハビリテーション科,,,,第三-総合診療部（その他）,本院-リハビリテーション科,
38,,,葛飾-内科（脳神経）,葛飾-内科（脳神経）,,,,葛飾-内科（脳神経）,,,葛飾-内科（脳神経）
40,柏-内科（循環器）,柏-内科（循環器）,,,柏-内科（循環器）,,,,柏-内科（循環器）,,
41,,,本院-麻酔科,本院-麻酔科,,,,本院-麻酔科,,,本院-麻酔科
42,,第三-内科（腎臓・高血圧）,第三-内科（腎臓・高血圧）,,,第三-内科（腎臓・高血圧）,,,,第三-内科（腎臓・高血圧）,
43,柏-内科（消化器・肝臓）,,,柏-内科（消化器・肝臓）,柏-内科（消化器・肝臓）,,,,柏-内科（消化器・肝臓）,,
45,葛飾-内科（呼吸器）,,,本院-内科（消化器・肝臓）,,,,第三-総合診療部（その他）,,,本院-内科（消化器・肝臓）
47,,第三-内科（消化器・肝臓）,,,本院-本院画像診断部,本院-本院画像診断部,,,,本院-本院画像診断部,
48,,本院-麻酔科,,,本院-麻酔科,本院-麻酔科,,,,本院-麻酔科,
50,,,柏-内科（消化器・肝臓）,葛飾-内科（消化器・肝臓）,,,,柏-内科（消化器・肝臓）,,,柏-内科（消化器・肝臓）
51,,,本院-内科（消化器・肝臓）,,,本院-内科（消化器・肝臓）,本院-内科（消化器・肝臓）,,,本院-内科（消化器・肝臓）,
52,本院-形成外科,,,本院-形成外科,,,,本院-本院画像診断部,本院-形成外科,,
54,,,本院-脳神経外科,,,本院-脳神経外科,本院-脳神経外科,本院-脳神経外科,,,
55,,柏-精神神経科,柏-整形外科,,,柏-整形外科,,,,柏-精神神経科,
56,,,未配属,,,未配属,本院-心臓外科,本院-心臓外科,,,
57,,第三-総合診療部（看護共修実習：2ターム目のみ）,本院-リハビリテーション科,,,柏-救急科,,,,柏-救急科,
58,柏-整形外科,,,柏-整形外科,,,,柏-整形外科,本院-形成外科,,
