assigned_department,抽選順位中央値
未配属,54
本院-リハビリテーション科,51
本院-内科（リウマチ・膠原病）,91
本院-内科（呼吸器）,67
本院-内科（循環器）,31
本院-内科（消化器・肝臓）,63
本院-内科（糖尿病・代謝・内分泌）,89
本院-内科（脳神経）,46
本院-内科（腎臓・高血圧）,44
本院-内科（腫瘍・血液）,81
本院-内視鏡部,71
本院-小児科,80
本院-形成外科,65
本院-心臓外科,65
本院-感染制御科,55
本院-救急科,66
本院-整形外科,34
本院-本院放射線治療部,49
本院-本院画像診断部,48
本院-泌尿器科,74
本院-産婦人科,58
本院-眼科,57
本院-精神神経科,51
本院-耳鼻咽喉・頭頸部外科,47
本院-脳神経外科,61
本院-麻酔科,80
柏-内科（リウマチ・膠原病）,48
柏-内科（呼吸器）,22
柏-内科（循環器）,45
柏-内科（消化器・肝臓）,23
柏-内科（脳神経）,83
柏-分院外科,65
柏-形成外科,90
柏-救急科,63
柏-整形外科,54
柏-泌尿器科,56
柏-産婦人科,39
柏-精神神経科,43
第三-内科（呼吸器）,44
第三-内科（循環器）,31
第三-内科（消化器・肝臓）,48
第三-内科（糖尿病・代謝・内分泌）,44
第三-内科（腎臓・高血圧）,59
第三-分院外科,100
第三-分院放射線科,54
第三-小児科,86
第三-整形外科,71
第三-泌尿器科,101
第三-産婦人科,32
第三-総合診療部（その他）,62
葛飾-内科（呼吸器）,71
葛飾-内科（循環器）,50
葛飾-内科（消化器・肝臓）,45
葛飾-内科（糖尿病・代謝・内分泌）,46
葛飾-内科（腎臓・高血圧）,70
葛飾-分院外科,56
葛飾-分院放射線科,93
葛飾-整形外科,23
葛飾-泌尿器科,13
葛飾-産婦人科,42
葛飾-皮膚科,32
葛飾-眼科,83
